Run ID,Size (MB),Tissue,Study,Tissue Code
DRR001625,17,brain,DRP000499,BRAIN
DRR001626,857,brain,DRP000499,BRAIN
DRR001623,918,brain,DRP000499,BRAIN
DRR001627,1273,brain,DRP000499,BRAIN
DRR001622,1415,brain,DRP000499,BRAIN
DRR001624,1415,brain,DRP000499,BRAIN
DRR001641,3624,brain,DRP000499,BRAIN
DRR001640,3795,brain,DRP000499,BRAIN
DRR001642,4054,brain,DRP000499,BRAIN
DRR001633,4100,brain,DRP000499,BRAIN
DRR001635,4706,brain,DRP000499,BRAIN
DRR001634,4709,brain,DRP000499,BRAIN
DRR001638,4829,brain,DRP000499,BRAIN
DRR001631,4843,brain,DRP000499,BRAIN
DRR001629,5487,brain,DRP000499,BRAIN
DRR001639,5493,brain,DRP000499,BRAIN
DRR001630,5515,brain,DRP000499,BRAIN
DRR001637,5944,brain,DRP000499,BRAIN
DRR001636,6630,brain,DRP000499,BRAIN
DRR001632,7462,brain,DRP000499,BRAIN
DRR001628,8558,brain,DRP000499,BRAIN
DRR165727,477,brain,DRP004845,BRAIN
DRR165726,496,brain,DRP004845,BRAIN
DRR165725,509,brain,DRP004845,BRAIN
DRR165713,521,brain,DRP004845,BRAIN
DRR165731,531,brain,DRP004845,BRAIN
DRR165723,532,brain,DRP004845,BRAIN
DRR165728,578,brain,DRP004845,BRAIN
DRR165724,579,brain,DRP004845,BRAIN
DRR165715,698,brain,DRP004845,BRAIN
DRR165733,726,brain,DRP004845,BRAIN
DRR165732,771,brain,DRP004845,BRAIN
DRR165714,864,brain,DRP004845,BRAIN
DRR165716,890,brain,DRP004845,BRAIN
DRR165734,950,brain,DRP004845,BRAIN
DRR165730,1215,brain,DRP004845,BRAIN
DRR165712,2663,brain,DRP004845,BRAIN
DRR165718,3010,brain,DRP004845,BRAIN
DRR165729,3322,brain,DRP004845,BRAIN
DRR165722,3385,brain,DRP004845,BRAIN
DRR165719,3389,brain,DRP004845,BRAIN
DRR165711,3872,brain,DRP004845,BRAIN
DRR165717,4031,brain,DRP004845,BRAIN
DRR165720,4124,brain,DRP004845,BRAIN
DRR165721,5545,brain,DRP004845,BRAIN
ERR103430,688,brain,ERP001304,BRAIN
ERR103425,717,brain,ERP001304,BRAIN
ERR103432,735,brain,ERP001304,BRAIN
ERR103422,776,brain,ERP001304,BRAIN
ERR103433,782,brain,ERP001304,BRAIN
ERR103434,822,brain,ERP001304,BRAIN
ERR103423,1417,brain,ERP001304,BRAIN
ERR103431,1429,brain,ERP001304,BRAIN
ERR103427,1498,brain,ERP001304,BRAIN
ERR103421,1516,brain,ERP001304,BRAIN
ERR103429,1548,brain,ERP001304,BRAIN
ERR103438,1655,brain,ERP001304,BRAIN
ERR103437,1658,brain,ERP001304,BRAIN
ERR103435,1672,brain,ERP001304,BRAIN
ERR103436,1701,brain,ERP001304,BRAIN
ERR103426,1716,brain,ERP001304,BRAIN
ERR103428,1766,brain,ERP001304,BRAIN
ERR103424,1794,brain,ERP001304,BRAIN
ERR305907,626,brain,ERP003495,BRAIN
ERR305908,740,brain,ERP003495,BRAIN
ERR305909,753,brain,ERP003495,BRAIN
ERR305906,771,brain,ERP003495,BRAIN
ERR305903,787,brain,ERP003495,BRAIN
ERR305905,802,brain,ERP003495,BRAIN
ERR305902,826,brain,ERP003495,BRAIN
ERR305904,930,brain,ERP003495,BRAIN
ERR409899,369,brain,ERP004592,BRAIN
ERR409886,387,brain,ERP004592,BRAIN
ERR409894,402,brain,ERP004592,BRAIN
ERR409898,461,brain,ERP004592,BRAIN
ERR409887,470,brain,ERP004592,BRAIN
ERR409889,495,brain,ERP004592,BRAIN
ERR409879,499,brain,ERP004592,BRAIN
ERR409890,502,brain,ERP004592,BRAIN
ERR409891,516,brain,ERP004592,BRAIN
ERR409880,520,brain,ERP004592,BRAIN
ERR409896,521,brain,ERP004592,BRAIN
ERR409897,565,brain,ERP004592,BRAIN
ERR409884,573,brain,ERP004592,BRAIN
ERR409881,578,brain,ERP004592,BRAIN
ERR409895,579,brain,ERP004592,BRAIN
ERR409882,580,brain,ERP004592,BRAIN
ERR409885,602,brain,ERP004592,BRAIN
ERR409893,612,brain,ERP004592,BRAIN
ERR409892,644,brain,ERP004592,BRAIN
ERR409878,674,brain,ERP004592,BRAIN
ERR409888,960,brain,ERP004592,BRAIN
ERR409883,2836,brain,ERP004592,BRAIN
ERR409900,3557,brain,ERP004592,BRAIN
ERR1474890,3949,brain,ERP016268,BRAIN
ERR1474902,4382,brain,ERP016268,BRAIN
ERR1474899,4459,brain,ERP016268,BRAIN
ERR1474900,4577,brain,ERP016268,BRAIN
ERR1474893,4660,brain,ERP016268,BRAIN
ERR1474908,4694,brain,ERP016268,BRAIN
ERR1474903,4787,brain,ERP016268,BRAIN
ERR1474901,4826,brain,ERP016268,BRAIN
ERR1474904,4940,brain,ERP016268,BRAIN
ERR1474905,5106,brain,ERP016268,BRAIN
ERR1474906,5131,brain,ERP016268,BRAIN
ERR1474907,5182,brain,ERP016268,BRAIN
ERR1474892,5699,brain,ERP016268,BRAIN
ERR1474891,6422,brain,ERP016268,BRAIN
ERR1474897,6892,brain,ERP016268,BRAIN
ERR1474896,7127,brain,ERP016268,BRAIN
ERR1474898,8284,brain,ERP016268,BRAIN
ERR1474895,8785,brain,ERP016268,BRAIN
ERR1474894,10463,brain,ERP016268,BRAIN
ERR1702140,0,brain,ERP018009,BRAIN
ERR1696026,1075,brain,ERP018009,BRAIN
ERR1696027,1098,brain,ERP018009,BRAIN
ERR1702138,2310,brain,ERP018009,BRAIN
ERR1702139,2343,brain,ERP018009,BRAIN
ERR1695982,4608,brain,ERP018009,BRAIN
ERR1695980,4636,brain,ERP018009,BRAIN
ERR1695985,4665,brain,ERP018009,BRAIN
ERR1695981,4671,brain,ERP018009,BRAIN
ERR1695983,4672,brain,ERP018009,BRAIN
ERR1695979,4718,brain,ERP018009,BRAIN
ERR1695984,4732,brain,ERP018009,BRAIN
ERR1695978,4752,brain,ERP018009,BRAIN
ERR1695997,4795,brain,ERP018009,BRAIN
ERR1695934,4807,brain,ERP018009,BRAIN
ERR1695995,4815,brain,ERP018009,BRAIN
ERR1695949,4818,brain,ERP018009,BRAIN
ERR1695999,4818,brain,ERP018009,BRAIN
ERR1696000,4821,brain,ERP018009,BRAIN
ERR1695932,4835,brain,ERP018009,BRAIN
ERR1695947,4840,brain,ERP018009,BRAIN
ERR1695951,4842,brain,ERP018009,BRAIN
ERR1695952,4848,brain,ERP018009,BRAIN
ERR1695996,4858,brain,ERP018009,BRAIN
ERR1695933,4860,brain,ERP018009,BRAIN
ERR1695937,4866,brain,ERP018009,BRAIN
ERR1695935,4869,brain,ERP018009,BRAIN
ERR1695994,4873,brain,ERP018009,BRAIN
ERR1695998,4874,brain,ERP018009,BRAIN
ERR1695948,4878,brain,ERP018009,BRAIN
ERR1696001,4880,brain,ERP018009,BRAIN
ERR1695950,4899,brain,ERP018009,BRAIN
ERR1695946,4901,brain,ERP018009,BRAIN
ERR1695953,4912,brain,ERP018009,BRAIN
ERR1695931,4916,brain,ERP018009,BRAIN
ERR1696006,4929,brain,ERP018009,BRAIN
ERR1695936,4930,brain,ERP018009,BRAIN
ERR1696004,4941,brain,ERP018009,BRAIN
ERR1696009,4946,brain,ERP018009,BRAIN
ERR1695930,4951,brain,ERP018009,BRAIN
ERR1696007,4972,brain,ERP018009,BRAIN
ERR1696005,4973,brain,ERP018009,BRAIN
ERR1696003,4989,brain,ERP018009,BRAIN
ERR1696002,5004,brain,ERP018009,BRAIN
ERR1696008,5021,brain,ERP018009,BRAIN
ERR1695958,5140,brain,ERP018009,BRAIN
ERR1695956,5166,brain,ERP018009,BRAIN
ERR1695961,5181,brain,ERP018009,BRAIN
ERR1695959,5194,brain,ERP018009,BRAIN
ERR1695957,5195,brain,ERP018009,BRAIN
ERR1695955,5233,brain,ERP018009,BRAIN
ERR1695954,5251,brain,ERP018009,BRAIN
ERR1695960,5254,brain,ERP018009,BRAIN
ERR1696021,5322,brain,ERP018009,BRAIN
ERR1696024,5350,brain,ERP018009,BRAIN
ERR1696019,5352,brain,ERP018009,BRAIN
ERR1696023,5355,brain,ERP018009,BRAIN
ERR1695973,5367,brain,ERP018009,BRAIN
ERR1695942,5370,brain,ERP018009,BRAIN
ERR1696025,5379,brain,ERP018009,BRAIN
ERR1696022,5389,brain,ERP018009,BRAIN
ERR1696018,5398,brain,ERP018009,BRAIN
ERR1695971,5400,brain,ERP018009,BRAIN
ERR1695976,5402,brain,ERP018009,BRAIN
ERR1695975,5403,brain,ERP018009,BRAIN
ERR1696020,5406,brain,ERP018009,BRAIN
ERR1695941,5415,brain,ERP018009,BRAIN
ERR1695943,5415,brain,ERP018009,BRAIN
ERR1695944,5419,brain,ERP018009,BRAIN
ERR1695940,5441,brain,ERP018009,BRAIN
ERR1695972,5448,brain,ERP018009,BRAIN
ERR1695974,5450,brain,ERP018009,BRAIN
ERR1695977,5461,brain,ERP018009,BRAIN
ERR1695970,5464,brain,ERP018009,BRAIN
ERR1695939,5465,brain,ERP018009,BRAIN
ERR1695938,5480,brain,ERP018009,BRAIN
ERR1696017,5575,brain,ERP018009,BRAIN
ERR1695993,5605,brain,ERP018009,BRAIN
ERR1695990,5612,brain,ERP018009,BRAIN
ERR1695945,5616,brain,ERP018009,BRAIN
ERR1695991,5660,brain,ERP018009,BRAIN
ERR1695989,5662,brain,ERP018009,BRAIN
ERR1695992,5668,brain,ERP018009,BRAIN
ERR1695988,5693,brain,ERP018009,BRAIN
ERR1695987,5718,brain,ERP018009,BRAIN
ERR1695986,5738,brain,ERP018009,BRAIN
ERR1696014,5820,brain,ERP018009,BRAIN
ERR1696015,5870,brain,ERP018009,BRAIN
ERR1696013,5880,brain,ERP018009,BRAIN
ERR1696016,5884,brain,ERP018009,BRAIN
ERR1696012,5920,brain,ERP018009,BRAIN
ERR1696011,5936,brain,ERP018009,BRAIN
ERR1696010,5952,brain,ERP018009,BRAIN
ERR1695969,6030,brain,ERP018009,BRAIN
ERR1695966,6041,brain,ERP018009,BRAIN
ERR1695967,6090,brain,ERP018009,BRAIN
ERR1695965,6093,brain,ERP018009,BRAIN
ERR1695968,6096,brain,ERP018009,BRAIN
ERR1695964,6124,brain,ERP018009,BRAIN
ERR1695963,6166,brain,ERP018009,BRAIN
ERR1695962,6195,brain,ERP018009,BRAIN
ERR1702136,35263,brain,ERP018009,BRAIN
ERR1702137,117571,brain,ERP018009,BRAIN
ERR1739455,470,brain,ERP019971,BRAIN
ERR1739452,533,brain,ERP019971,BRAIN
ERR1739456,546,brain,ERP019971,BRAIN
ERR1739453,557,brain,ERP019971,BRAIN
ERR1739449,624,brain,ERP019971,BRAIN
ERR1739454,640,brain,ERP019971,BRAIN
ERR1739450,644,brain,ERP019971,BRAIN
ERR1739451,658,brain,ERP019971,BRAIN
ERR1739481,514,brain,ERP019973,BRAIN
ERR1739459,562,brain,ERP019973,BRAIN
ERR1739475,588,brain,ERP019973,BRAIN
ERR1739466,612,brain,ERP019973,BRAIN
ERR1739460,614,brain,ERP019973,BRAIN
ERR1739458,619,brain,ERP019973,BRAIN
ERR1739470,627,brain,ERP019973,BRAIN
ERR1739476,628,brain,ERP019973,BRAIN
ERR1739462,632,brain,ERP019973,BRAIN
ERR1739471,634,brain,ERP019973,BRAIN
ERR1739472,637,brain,ERP019973,BRAIN
ERR1739461,639,brain,ERP019973,BRAIN
ERR1739478,641,brain,ERP019973,BRAIN
ERR1739465,661,brain,ERP019973,BRAIN
ERR1739468,663,brain,ERP019973,BRAIN
ERR1739469,665,brain,ERP019973,BRAIN
ERR1739463,673,brain,ERP019973,BRAIN
ERR1739477,674,brain,ERP019973,BRAIN
ERR1739480,703,brain,ERP019973,BRAIN
ERR1739464,712,brain,ERP019973,BRAIN
ERR1739467,720,brain,ERP019973,BRAIN
ERR1739479,781,brain,ERP019973,BRAIN
ERR1739473,967,brain,ERP019973,BRAIN
ERR1739474,1029,brain,ERP019973,BRAIN
ERR1815667,268,brain,ERP021270,BRAIN
ERR1815669,433,brain,ERP021270,BRAIN
ERR1815666,439,brain,ERP021270,BRAIN
ERR1815668,641,brain,ERP021270,BRAIN
ERR2360103,49,brain,ERP107244,BRAIN
ERR2360106,49,brain,ERP107244,BRAIN
ERR2360104,50,brain,ERP107244,BRAIN
ERR2360105,50,brain,ERP107244,BRAIN
ERR2360120,75,brain,ERP107244,BRAIN
ERR2360122,77,brain,ERP107244,BRAIN
ERR2360119,78,brain,ERP107244,BRAIN
ERR2360121,80,brain,ERP107244,BRAIN
ERR2360116,150,brain,ERP107244,BRAIN
ERR2360118,154,brain,ERP107244,BRAIN
ERR2360115,157,brain,ERP107244,BRAIN
ERR2360112,159,brain,ERP107244,BRAIN
ERR2360117,162,brain,ERP107244,BRAIN
ERR2360131,163,brain,ERP107244,BRAIN
ERR2360114,165,brain,ERP107244,BRAIN
ERR2360134,165,brain,ERP107244,BRAIN
ERR2360111,167,brain,ERP107244,BRAIN
ERR2360132,167,brain,ERP107244,BRAIN
ERR2360133,168,brain,ERP107244,BRAIN
ERR2360127,172,brain,ERP107244,BRAIN
ERR2360079,173,brain,ERP107244,BRAIN
ERR2360113,173,brain,ERP107244,BRAIN
ERR2360155,173,brain,ERP107244,BRAIN
ERR2360156,174,brain,ERP107244,BRAIN
ERR2360179,174,brain,ERP107244,BRAIN
ERR2360080,175,brain,ERP107244,BRAIN
ERR2360128,175,brain,ERP107244,BRAIN
ERR2360180,175,brain,ERP107244,BRAIN
ERR2360083,176,brain,ERP107244,BRAIN
ERR2360195,177,brain,ERP107244,BRAIN
ERR2360216,177,brain,ERP107244,BRAIN
ERR2360084,178,brain,ERP107244,BRAIN
ERR2360130,178,brain,ERP107244,BRAIN
ERR2360148,178,brain,ERP107244,BRAIN
ERR2360158,178,brain,ERP107244,BRAIN
ERR2360196,178,brain,ERP107244,BRAIN
ERR2360203,178,brain,ERP107244,BRAIN
ERR2360075,179,brain,ERP107244,BRAIN
ERR2360147,179,brain,ERP107244,BRAIN
ERR2360206,179,brain,ERP107244,BRAIN
ERR2360076,180,brain,ERP107244,BRAIN
ERR2360082,180,brain,ERP107244,BRAIN
ERR2360182,180,brain,ERP107244,BRAIN
ERR2360204,181,brain,ERP107244,BRAIN
ERR2360208,181,brain,ERP107244,BRAIN
ERR2360086,182,brain,ERP107244,BRAIN
ERR2360129,182,brain,ERP107244,BRAIN
ERR2360140,182,brain,ERP107244,BRAIN
ERR2360150,182,brain,ERP107244,BRAIN
ERR2360157,182,brain,ERP107244,BRAIN
ERR2360199,182,brain,ERP107244,BRAIN
ERR2360198,183,brain,ERP107244,BRAIN
ERR2360200,183,brain,ERP107244,BRAIN
ERR2360218,183,brain,ERP107244,BRAIN
ERR2360081,184,brain,ERP107244,BRAIN
ERR2360205,184,brain,ERP107244,BRAIN
ERR2360215,184,brain,ERP107244,BRAIN
ERR2360078,185,brain,ERP107244,BRAIN
ERR2360151,185,brain,ERP107244,BRAIN
ERR2360152,185,brain,ERP107244,BRAIN
ERR2360181,185,brain,ERP107244,BRAIN
ERR2360085,186,brain,ERP107244,BRAIN
ERR2360123,186,brain,ERP107244,BRAIN
ERR2360107,187,brain,ERP107244,BRAIN
ERR2360124,187,brain,ERP107244,BRAIN
ERR2360142,187,brain,ERP107244,BRAIN
ERR2360202,187,brain,ERP107244,BRAIN
ERR2360108,188,brain,ERP107244,BRAIN
ERR2360197,188,brain,ERP107244,BRAIN
ERR2360210,188,brain,ERP107244,BRAIN
ERR2360077,189,brain,ERP107244,BRAIN
ERR2360139,190,brain,ERP107244,BRAIN
ERR2360149,190,brain,ERP107244,BRAIN
ERR2360207,190,brain,ERP107244,BRAIN
ERR2360217,190,brain,ERP107244,BRAIN
ERR2360154,191,brain,ERP107244,BRAIN
ERR2360126,192,brain,ERP107244,BRAIN
ERR2360201,192,brain,ERP107244,BRAIN
ERR2360110,193,brain,ERP107244,BRAIN
ERR2360141,195,brain,ERP107244,BRAIN
ERR2360153,196,brain,ERP107244,BRAIN
ERR2360125,197,brain,ERP107244,BRAIN
ERR2360160,197,brain,ERP107244,BRAIN
ERR2360209,197,brain,ERP107244,BRAIN
ERR2360109,198,brain,ERP107244,BRAIN
ERR2360164,199,brain,ERP107244,BRAIN
ERR2360136,200,brain,ERP107244,BRAIN
ERR2360192,200,brain,ERP107244,BRAIN
ERR2360212,201,brain,ERP107244,BRAIN
ERR2360171,203,brain,ERP107244,BRAIN
ERR2360162,204,brain,ERP107244,BRAIN
ERR2360172,205,brain,ERP107244,BRAIN
ERR2360214,205,brain,ERP107244,BRAIN
ERR2360166,206,brain,ERP107244,BRAIN
ERR2360138,207,brain,ERP107244,BRAIN
ERR2360194,207,brain,ERP107244,BRAIN
ERR2360159,208,brain,ERP107244,BRAIN
ERR2360163,208,brain,ERP107244,BRAIN
ERR2360135,209,brain,ERP107244,BRAIN
ERR2360191,209,brain,ERP107244,BRAIN
ERR2360211,210,brain,ERP107244,BRAIN
ERR2360174,211,brain,ERP107244,BRAIN
ERR2360168,212,brain,ERP107244,BRAIN
ERR2360099,214,brain,ERP107244,BRAIN
ERR2360092,215,brain,ERP107244,BRAIN
ERR2360100,215,brain,ERP107244,BRAIN
ERR2360165,215,brain,ERP107244,BRAIN
ERR2360213,215,brain,ERP107244,BRAIN
ERR2360161,216,brain,ERP107244,BRAIN
ERR2360173,216,brain,ERP107244,BRAIN
ERR2360193,216,brain,ERP107244,BRAIN
ERR2360137,217,brain,ERP107244,BRAIN
ERR2360170,218,brain,ERP107244,BRAIN
ERR2360144,220,brain,ERP107244,BRAIN
ERR2360167,220,brain,ERP107244,BRAIN
ERR2360102,222,brain,ERP107244,BRAIN
ERR2360184,222,brain,ERP107244,BRAIN
ERR2360094,223,brain,ERP107244,BRAIN
ERR2360175,223,brain,ERP107244,BRAIN
ERR2360091,225,brain,ERP107244,BRAIN
ERR2360176,226,brain,ERP107244,BRAIN
ERR2360101,227,brain,ERP107244,BRAIN
ERR2360169,227,brain,ERP107244,BRAIN
ERR2360146,228,brain,ERP107244,BRAIN
ERR2360143,229,brain,ERP107244,BRAIN
ERR2360186,230,brain,ERP107244,BRAIN
ERR2360088,231,brain,ERP107244,BRAIN
ERR2360183,231,brain,ERP107244,BRAIN
ERR2360093,232,brain,ERP107244,BRAIN
ERR2360178,232,brain,ERP107244,BRAIN
ERR2360188,235,brain,ERP107244,BRAIN
ERR2360177,236,brain,ERP107244,BRAIN
ERR2360145,237,brain,ERP107244,BRAIN
ERR2360090,240,brain,ERP107244,BRAIN
ERR2360185,240,brain,ERP107244,BRAIN
ERR2360087,242,brain,ERP107244,BRAIN
ERR2360190,242,brain,ERP107244,BRAIN
ERR2360096,243,brain,ERP107244,BRAIN
ERR2360187,246,brain,ERP107244,BRAIN
ERR2360089,250,brain,ERP107244,BRAIN
ERR2360098,252,brain,ERP107244,BRAIN
ERR2360189,253,brain,ERP107244,BRAIN
ERR2360095,254,brain,ERP107244,BRAIN
ERR2360097,263,brain,ERP107244,BRAIN
ERR2538571,692,brain,ERP108439,BRAIN
ERR2538569,726,brain,ERP108439,BRAIN
ERR2538561,728,brain,ERP108439,BRAIN
ERR2538565,731,brain,ERP108439,BRAIN
ERR2538562,738,brain,ERP108439,BRAIN
ERR2538563,742,brain,ERP108439,BRAIN
ERR2538564,746,brain,ERP108439,BRAIN
ERR2538570,760,brain,ERP108439,BRAIN
ERR2538574,768,brain,ERP108439,BRAIN
ERR2538572,772,brain,ERP108439,BRAIN
ERR2538573,781,brain,ERP108439,BRAIN
ERR2538566,788,brain,ERP108439,BRAIN
ERR2538567,822,brain,ERP108439,BRAIN
ERR2538575,871,brain,ERP108439,BRAIN
ERR2538577,871,brain,ERP108439,BRAIN
ERR2538576,889,brain,ERP108439,BRAIN
ERR2538568,2179,brain,ERP108439,BRAIN
ERR2817138,355,brain,ERP111116,BRAIN
ERR2817140,357,brain,ERP111116,BRAIN
ERR2817137,361,brain,ERP111116,BRAIN
ERR2817139,364,brain,ERP111116,BRAIN
ERR2817142,382,brain,ERP111116,BRAIN
ERR2817134,384,brain,ERP111116,BRAIN
ERR2817144,385,brain,ERP111116,BRAIN
ERR2817136,387,brain,ERP111116,BRAIN
ERR2817141,389,brain,ERP111116,BRAIN
ERR2817133,391,brain,ERP111116,BRAIN
ERR2817143,393,brain,ERP111116,BRAIN
ERR2817135,394,brain,ERP111116,BRAIN
ERR2817122,395,brain,ERP111116,BRAIN
ERR2817118,397,brain,ERP111116,BRAIN
ERR2817124,397,brain,ERP111116,BRAIN
ERR2817120,399,brain,ERP111116,BRAIN
ERR2817121,403,brain,ERP111116,BRAIN
ERR2817117,405,brain,ERP111116,BRAIN
ERR2817123,405,brain,ERP111116,BRAIN
ERR2817126,407,brain,ERP111116,BRAIN
ERR2817119,408,brain,ERP111116,BRAIN
ERR2817128,409,brain,ERP111116,BRAIN
ERR2817125,414,brain,ERP111116,BRAIN
ERR2817127,416,brain,ERP111116,BRAIN
ERR2817130,430,brain,ERP111116,BRAIN
ERR2817132,432,brain,ERP111116,BRAIN
ERR2817129,438,brain,ERP111116,BRAIN
ERR2817131,441,brain,ERP111116,BRAIN
ERR2817146,500,brain,ERP111116,BRAIN
ERR2817148,502,brain,ERP111116,BRAIN
ERR2817145,509,brain,ERP111116,BRAIN
ERR2817147,511,brain,ERP111116,BRAIN
ERR3218764,18,brain,ERP114259,BRAIN
ERR3218756,52,brain,ERP114259,BRAIN
ERR3218749,69,brain,ERP114259,BRAIN
ERR3218768,121,brain,ERP114259,BRAIN
ERR3218748,122,brain,ERP114259,BRAIN
ERR3218754,122,brain,ERP114259,BRAIN
ERR3218763,122,brain,ERP114259,BRAIN
ERR3218771,122,brain,ERP114259,BRAIN
ERR3218772,122,brain,ERP114259,BRAIN
ERR3218752,123,brain,ERP114259,BRAIN
ERR3218758,123,brain,ERP114259,BRAIN
ERR3218759,123,brain,ERP114259,BRAIN
ERR3218760,123,brain,ERP114259,BRAIN
ERR3218762,123,brain,ERP114259,BRAIN
ERR3218769,123,brain,ERP114259,BRAIN
ERR3218743,124,brain,ERP114259,BRAIN
ERR3218745,124,brain,ERP114259,BRAIN
ERR3218751,124,brain,ERP114259,BRAIN
ERR3218761,124,brain,ERP114259,BRAIN
ERR3218765,124,brain,ERP114259,BRAIN
ERR3218742,125,brain,ERP114259,BRAIN
ERR3218746,125,brain,ERP114259,BRAIN
ERR3218750,125,brain,ERP114259,BRAIN
ERR3218753,125,brain,ERP114259,BRAIN
ERR3218757,125,brain,ERP114259,BRAIN
ERR3218766,125,brain,ERP114259,BRAIN
ERR3218767,125,brain,ERP114259,BRAIN
ERR3218740,126,brain,ERP114259,BRAIN
ERR3218744,126,brain,ERP114259,BRAIN
ERR3218747,126,brain,ERP114259,BRAIN
ERR3218770,126,brain,ERP114259,BRAIN
ERR3218741,127,brain,ERP114259,BRAIN
ERR3218755,187,brain,ERP114259,BRAIN
ERR3346329,309,brain,ERP115551,BRAIN
ERR3346327,343,brain,ERP115551,BRAIN
ERR3346328,384,brain,ERP115551,BRAIN
ERR3346330,393,brain,ERP115551,BRAIN
ERR3346331,440,brain,ERP115551,BRAIN
ERR3346326,451,brain,ERP115551,BRAIN
ERR3346325,460,brain,ERP115551,BRAIN
ERR3346324,479,brain,ERP115551,BRAIN
ERR3346332,920,brain,ERP115551,BRAIN
ERR3367904,359,brain,ERP115758,BRAIN
ERR3367907,393,brain,ERP115758,BRAIN
ERR3367908,440,brain,ERP115758,BRAIN
ERR3367902,473,brain,ERP115758,BRAIN
ERR3367905,489,brain,ERP115758,BRAIN
ERR3367901,502,brain,ERP115758,BRAIN
ERR3367906,504,brain,ERP115758,BRAIN
ERR3367903,512,brain,ERP115758,BRAIN
ERR3367909,920,brain,ERP115758,BRAIN
ERR3372840,393,brain,ERP115772,BRAIN
ERR3372841,440,brain,ERP115772,BRAIN
ERR3372836,459,brain,ERP115772,BRAIN
ERR3372837,480,brain,ERP115772,BRAIN
ERR3372839,520,brain,ERP115772,BRAIN
ERR3372835,533,brain,ERP115772,BRAIN
ERR3372838,533,brain,ERP115772,BRAIN
ERR3372834,749,brain,ERP115772,BRAIN
ERR3372842,920,brain,ERP115772,BRAIN
ERR3373951,356,brain,ERP115774,BRAIN
ERR3373957,393,brain,ERP115774,BRAIN
ERR3373954,436,brain,ERP115774,BRAIN
ERR3373958,440,brain,ERP115774,BRAIN
ERR3373956,484,brain,ERP115774,BRAIN
ERR3373953,506,brain,ERP115774,BRAIN
ERR3373952,551,brain,ERP115774,BRAIN
ERR3373955,636,brain,ERP115774,BRAIN
ERR3373959,920,brain,ERP115774,BRAIN
ERR3379358,0,brain,ERP115840,BRAIN
ERR3379306,0,brain,ERP115840,BRAIN
ERR3379340,0,brain,ERP115840,BRAIN
ERR3379260,0,brain,ERP115840,BRAIN
ERR3379218,0,brain,ERP115840,BRAIN
ERR3379219,0,brain,ERP115840,BRAIN
ERR3379220,0,brain,ERP115840,BRAIN
ERR3379221,0,brain,ERP115840,BRAIN
ERR3379222,0,brain,ERP115840,BRAIN
ERR3379223,0,brain,ERP115840,BRAIN
ERR3379024,0,brain,ERP115840,BRAIN
ERR3379262,1,brain,ERP115840,BRAIN
ERR3379064,1,brain,ERP115840,BRAIN
ERR3379078,1,brain,ERP115840,BRAIN
ERR3379106,1,brain,ERP115840,BRAIN
ERR3379175,2,brain,ERP115840,BRAIN
ERR3379109,2,brain,ERP115840,BRAIN
ERR3379065,2,brain,ERP115840,BRAIN
ERR3379108,3,brain,ERP115840,BRAIN
ERR3379025,3,brain,ERP115840,BRAIN
ERR3379261,4,brain,ERP115840,BRAIN
ERR3379263,4,brain,ERP115840,BRAIN
ERR3379172,4,brain,ERP115840,BRAIN
ERR3379174,4,brain,ERP115840,BRAIN
ERR3379213,4,brain,ERP115840,BRAIN
ERR3379029,4,brain,ERP115840,BRAIN
ERR3379247,5,brain,ERP115840,BRAIN
ERR3379207,5,brain,ERP115840,BRAIN
ERR3379226,5,brain,ERP115840,BRAIN
ERR3379033,5,brain,ERP115840,BRAIN
ERR3379170,7,brain,ERP115840,BRAIN
ERR3379212,7,brain,ERP115840,BRAIN
ERR3379066,7,brain,ERP115840,BRAIN
ERR3379230,8,brain,ERP115840,BRAIN
ERR3379051,8,brain,ERP115840,BRAIN
ERR3379060,8,brain,ERP115840,BRAIN
ERR3379103,8,brain,ERP115840,BRAIN
ERR3379400,9,brain,ERP115840,BRAIN
ERR3379242,9,brain,ERP115840,BRAIN
ERR3379189,9,brain,ERP115840,BRAIN
ERR3379201,9,brain,ERP115840,BRAIN
ERR3379295,10,brain,ERP115840,BRAIN
ERR3379254,10,brain,ERP115840,BRAIN
ERR3379255,10,brain,ERP115840,BRAIN
ERR3379160,10,brain,ERP115840,BRAIN
ERR3379443,11,brain,ERP115840,BRAIN
ERR3379235,11,brain,ERP115840,BRAIN
ERR3379178,11,brain,ERP115840,BRAIN
ERR3379182,11,brain,ERP115840,BRAIN
ERR3379224,11,brain,ERP115840,BRAIN
ERR3379107,11,brain,ERP115840,BRAIN
ERR3379118,11,brain,ERP115840,BRAIN
ERR3379055,11,brain,ERP115840,BRAIN
ERR3379081,11,brain,ERP115840,BRAIN
ERR3379086,11,brain,ERP115840,BRAIN
ERR3379032,11,brain,ERP115840,BRAIN
ERR3379044,11,brain,ERP115840,BRAIN
ERR3379444,12,brain,ERP115840,BRAIN
ERR3379383,12,brain,ERP115840,BRAIN
ERR3379402,12,brain,ERP115840,BRAIN
ERR3379330,12,brain,ERP115840,BRAIN
ERR3379171,12,brain,ERP115840,BRAIN
ERR3379200,12,brain,ERP115840,BRAIN
ERR3379075,12,brain,ERP115840,BRAIN
ERR3379098,12,brain,ERP115840,BRAIN
